 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1350, num timesteps 864640, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1360, num timesteps 871040, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1370, num timesteps 877440, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1380, num timesteps 883840, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1390, num timesteps 890240, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

 

Updates 1400, num timesteps 896640, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1410, num timesteps 903040, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1420, num timesteps 909440, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1430, num timesteps 915840, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1440, num timesteps 922240, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1450, num timesteps 928640, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1460, num timesteps 935040, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1470, num timesteps 941440, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1480, num timesteps 947840, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1490, num timesteps 954240, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

 

Updates 1500, num timesteps 960640, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1510, num timesteps 967040, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1520, num timesteps 973440, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1530, num timesteps 979840, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1540, num timesteps 986240, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1550, num timesteps 992640, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1560, num timesteps 999040, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1570, num timesteps 1005440, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1580, num timesteps 1011840, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1590, num timesteps 1018240, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 1600, num timesteps 1024640, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1610, num timesteps 1031040, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1620, num timesteps 1037440, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1630, num timesteps 1043840, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1640, num timesteps 1050240, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1650, num timesteps 1056640, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1660, num timesteps 1063040, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1670, num timesteps 1069440, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1680, num timesteps 1075840, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1690, num timesteps 1082240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

 

Updates 1700, num timesteps 1088640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1710, num timesteps 1095040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1720, num timesteps 1101440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1730, num timesteps 1107840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1740, num timesteps 1114240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1750, num timesteps 1120640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1760, num timesteps 1127040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1770, num timesteps 1133440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1780, num timesteps 1139840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1790, num timesteps 1146240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

 

Updates 1800, num timesteps 1152640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1810, num timesteps 1159040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1820, num timesteps 1165440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1830, num timesteps 1171840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1840, num timesteps 1178240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1850, num timesteps 1184640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1860, num timesteps 1191040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1870, num timesteps 1197440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1880, num timesteps 1203840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1890, num timesteps 1210240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

 

Updates 1900, num timesteps 1216640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1910, num timesteps 1223040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1920, num timesteps 1229440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1930, num timesteps 1235840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1940, num timesteps 1242240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1950, num timesteps 1248640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1960, num timesteps 1255040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

Updates 1970, num timesteps 1261440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.82, success rate 0.01

