Updates 1820, num timesteps 1165440, FPS 362
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1830, num timesteps 1171840, FPS 362
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 1840, num timesteps 1178240, FPS 362
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 1850, num timesteps 1184640, FPS 362
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 1860, num timesteps 1191040, FPS 362
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 1870, num timesteps 1197440, FPS 362
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.11

Updates 1880, num timesteps 1203840, FPS 362
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1890, num timesteps 1210240, FPS 362
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

 

Updates 1900, num timesteps 1216640, FPS 362
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 1910, num timesteps 1223040, FPS 362
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.99, success rate 0.10

Updates 1920, num timesteps 1229440, FPS 362
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/0.96, success rate 0.09

Updates 1930, num timesteps 1235840, FPS 362
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.96, success rate 0.10

Updates 1940, num timesteps 1242240, FPS 362
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.96, success rate 0.10

Updates 1950, num timesteps 1248640, FPS 362
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/0.98, success rate 0.11

Updates 1960, num timesteps 1255040, FPS 362
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

Updates 1970, num timesteps 1261440, FPS 362
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

